,index,Word,Tag,sentence_id
0,0,Dừa,O,0
1,1,lắm,O,0
2,2,:)),O,0
3,4,Bấp,O,1
4,5,bênh,O,1
5,6,vl,B-T,1
6,7,thế,O,1
7,9,Chắc,O,2
8,10,cũng,O,2
9,11,biết,O,2
10,12,ko,O,2
11,13,tồn,O,2
12,14,tại,O,2
13,15,đc,O,2
14,16,bao,O,2
15,17,lâu,O,2
16,18,nữa,O,2
17,19,nên,O,2
18,20,cố,O,2
19,21,gắng,O,2
20,22,vét,B-T,2
21,24,Thấy,O,3
22,25,chán,B-T,3
23,26,ad,O,3
24,27,page,O,3
25,28,này,O,3
26,29,kiến,O,3
27,30,thức,O,3
28,31,thì,O,3
29,32,nông,B-T,3
30,33,cản,I-T,3
31,34,cái,O,3
32,35,gì,O,3
33,36,cũng,O,3
34,37,auto,O,3
35,38,"sủa,",B-T,3
36,39,cái,O,3
37,40,nhìn,O,3
38,41,thì,O,3
39,42,tiêu,B-T,3
40,43,"cực,",I-T,3
41,44,nói,O,3
42,45,chung,O,3
43,46,là,O,3
44,47,dốt,B-T,3
45,48,còn,O,3
46,49,nát,B-T,3
47,51,Giang,O,4
48,52,Giang,O,4
49,53,Đỗ,O,4
50,54,Thị,O,4
51,55,Ngọc,O,4
52,56,Hà,O,4
53,57,trend,O,4
54,58,mới,O,4
55,59,kìa,O,4
56,60,kìa,O,4
57,62,đcm,B-T,5
58,63,😒,B-T,5
59,64,sau,O,5
60,65,có,O,5
61,66,con,O,5
62,67,cho,O,5
63,68,hút,B-T,5
64,69,cỏ,I-T,5
65,70,chữa,O,5
66,71,bệnh,O,5
67,72,chứ,O,5
68,73,đéo,B-T,5
69,74,đưa,O,5
70,75,đi,O,5
71,76,bệnh,O,5
72,77,viện,O,5
73,78,😒,B-T,5
74,80,Má,B-T,6
75,81,nứng,B-T,6
76,82,quá,O,6
77,83,aiu,O,6
78,84,ơi,O,6
79,86,Chụp,O,7
80,87,cái,O,7
81,88,ảnh,O,7
82,89,thôi,O,7
83,90,làm,O,7
84,91,đéo,B-T,7
85,92,gì,O,7
86,93,đâu,O,7
87,94,mà,O,7
88,95,phiền,O,7
89,97,Tăng,O,8
90,98,theo,O,8
91,99,giờ,O,8
92,100,😭😭😭,O,8
93,102,Cực,O,9
94,103,kì,O,9
95,104,thuyết,O,9
96,105,phục,O,9
97,106,:c,O,9
98,108,Emma,O,10
99,109,Nguyen,O,10
100,110,vậy,O,10
101,111,mà,O,10
102,112,ca,O,10
103,113,ngợi,O,10
104,114,bên,O,10
105,115,kia,O,10
106,116,lắm...,O,10
107,117,Về,O,10
108,118,làm,O,10
109,119,lol,B-T,10
110,120,gì,O,10
111,122,Thằng,B-T,11
112,123,chó,I-T,11
113,125,Loại,B-T,12
114,126,nghiện,I-T,12
115,127,game,O,12
116,128,+,O,12
117,129,săm,B-T,12
118,130,trổ,I-T,12
119,131,k,O,12
120,132,có,O,12
121,133,tương,O,12
122,134,lai,O,12
123,135,đâu,O,12
124,136,nha,O,12
125,138,Nhung,O,13
126,139,Pham,O,13
127,140,Ai,O,13
128,141,chê,O,13
129,142,nghèo,O,13
130,143,ngta,O,13
131,144,có,O,13
132,145,tiền,O,13
133,146,đi,O,13
134,147,nước,O,13
135,148,nào,O,13
136,149,kệ,O,13
137,150,mẹ,B-T,13
138,151,người,O,13
139,152,"ta,",O,13
140,153,Nó,B-T,13
141,154,vẫn,O,13
142,155,mang,O,13
143,156,qtich,O,13
144,157,VN,O,13
145,158,thì,O,13
