,index,Word,Tag,sentence_id
0,0,Dừa,O,0
1,1,lắm,O,0
2,2,:,O,0
3,3,),O,0
4,4,),O,0
5,6,Bấp_bênh,O,1
6,7,vl,B-T,1
7,8,thế,O,1
8,10,Chắc,O,2
9,11,cũng,O,2
10,12,biết,O,2
11,13,ko,O,2
12,14,tồn_tại,O,2
13,15,đc,O,2
14,16,bao_lâu,O,2
15,17,nữa,O,2
16,18,nên,O,2
17,19,cố_gắng,O,2
18,20,vét,B-T,2
19,22,Thấy,O,3
20,23,chán,B-T,3
21,24,ad,O,3
22,25,page,O,3
23,26,này,O,3
24,27,kiến_thức,O,3
25,28,thì,O,3
26,29,nông,B-T,3
27,30,cản,I-T,3
28,31,cái,O,3
29,32,gì,O,3
30,33,cũng,O,3
31,34,auto,O,3
32,35,sủa,B-T,3
33,36,",",O,3
34,37,cái,O,3
35,38,nhìn,O,3
36,39,thì,O,3
37,40,tiêu_cực,B-T,3
38,41,",",O,3
39,42,nói_chung,O,3
40,43,là,O,3
41,44,dốt,B-T,3
42,45,còn,O,3
43,46,nát,B-T,3
44,48,Giang_Giang_Đỗ_Thị,O,4
45,49,Ngọc_Hà,O,4
46,50,trend,O,4
47,51,mới,O,4
48,52,kìa,O,4
49,53,kìa,O,4
50,55,đcm,B-T,5
51,56,😒,B-T,5
52,57,sau,O,5
53,58,có,O,5
54,59,con,O,5
55,60,cho,O,5
56,61,hút,B-T,5
57,62,cỏ,I-T,5
58,63,chữa,O,5
59,64,bệnh,O,5
60,65,chứ,O,5
61,66,đéo,B-T,5
62,67,đưa,O,5
63,68,đi,O,5
64,69,bệnh_viện,O,5
65,70,😒,B-T,5
66,72,Má,B-T,6
67,73,nứng,B-T,6
68,74,quá,O,6
69,75,aiu,O,6
70,76,ơi,O,6
71,78,Chụp,O,7
72,79,cái,O,7
73,80,ảnh,O,7
74,81,thôi,O,7
75,82,làm,O,7
76,83,đéo,B-T,7
77,84,gì,O,7
78,85,đâu,O,7
79,86,mà,O,7
80,87,phiền,O,7
81,89,Tăng,O,8
82,90,theo,O,8
83,91,giờ,O,8
84,92,😭😭😭,O,8
85,94,Cực_kì,O,9
86,95,thuyết_phục,O,9
87,96,:,O,9
88,97,c,O,9
89,99,Emma_Nguyen,O,10
90,100,vậy_mà,O,10
91,101,ca_ngợi,O,10
92,102,bên,O,10
93,103,kia,O,10
94,104,lắm,O,10
95,105,.,O,10
96,106,Về,O,10
97,107,làm,O,10
98,108,lol,B-T,10
99,109,gì,O,10
100,111,Thằng,B-T,11
101,112,chó,I-T,11
102,114,Loại,B-T,12
103,115,nghiện,I-T,12
104,116,game,O,12
105,117,+,O,12
106,118,săm,B-T,12
107,119,trổ,I-T,12
108,120,k,O,12
109,121,có,O,12
110,122,tương_lai,O,12
111,123,đâu,O,12
112,124,nha,O,12
113,126,Nhung_Pham_Ai,O,13
114,127,chê,O,13
115,128,nghèo,O,13
116,129,ngta,O,13
117,130,có,O,13
118,131,tiền,O,13
119,132,đi,O,13
120,133,nước,O,13
121,134,nào,O,13
122,135,kệ,O,13
123,136,mẹ,B-T,13
124,137,người,O,13
125,138,ta,O,13
126,139,",",O,13
127,140,Nó,B-T,13
128,141,vẫn,O,13
129,142,mang,O,13
130,143,qtich,O,13
131,144,VN,O,13
132,145,thì,O,13
133,146,về,O,13
134,147,VN,O,13
135,148,chữa,O,13
136,149,VN,O,13
137,150,đã,O,13
138,151,cấm,O,13
139,152,đâu,O,13
140,153,mà,O,13
